oui,isPrivate,companyName,companyAddress,countryCode,assignmentBlockSize,dateCreated,dateUpdated
00:00:00,0,"Officially Xerox, but 0:0:0:0:0:0 is more common",,,MA-L,2026-07-05,2026-07-05
00:00:01,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:02,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:03,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:04,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:05,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:06,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:07,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:08,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:09,0,Xerox Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:0A,0,Omron Tateisi Electronics Co.,,,MA-L,2026-07-05,2026-07-05
00:00:0B,0,Matrix Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:0C,0,"Cisco Systems, Inc",,,MA-L,2026-07-05,2026-07-05
00:00:0D,0,Fibronics Ltd.,,,MA-L,2026-07-05,2026-07-05
00:00:0E,0,Fujitsu Limited,,,MA-L,2026-07-05,2026-07-05
00:00:0F,0,"Next, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:10,0,Sytek Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:11,0,Normerel Systemes,,,MA-L,2026-07-05,2026-07-05
00:00:12,0,Information Technology Limited,,,MA-L,2026-07-05,2026-07-05
00:00:13,0,Camex,,,MA-L,2026-07-05,2026-07-05
00:00:14,0,Netronix,,,MA-L,2026-07-05,2026-07-05
00:00:15,0,Datapoint Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:16,0,Du Pont Pixel Systems.,,,MA-L,2026-07-05,2026-07-05
00:00:17,0,Oracle,,,MA-L,2026-07-05,2026-07-05
00:00:18,0,Webster Computer Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:19,0,Applied Dynamics International,,,MA-L,2026-07-05,2026-07-05
00:00:1A,0,Advanced Micro Devices,,,MA-L,2026-07-05,2026-07-05
00:00:1B,0,"Novell, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:1C,0,Bell Technologies,,,MA-L,2026-07-05,2026-07-05
00:00:1D,0,"Cabletron Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:1E,0,Telsist Industria Electronica,,,MA-L,2026-07-05,2026-07-05
00:00:1F,0,"Telco Systems, Inc.",,,MA-L,2026-07-05,2026-07-05
00:00:20,0,Dataindustrier Diab Ab,,,MA-L,2026-07-05,2026-07-05
00:00:21,0,Sureman Comp. & Commun. Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:22,0,Visual Technology Inc.,,,MA-L,2026-07-05,2026-07-05
00:00:23,0,Abb Industrial Systems Ab,,,MA-L,2026-07-05,2026-07-05
00:00:24,0,Connect As,,,MA-L,2026-07-05,2026-07-05
00:00:25,0,Ramtek Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:26,0,"Sha-Ken Co., Ltd.",,,MA-L,2026-07-05,2026-07-05
00:00:27,0,Japan Radio Company,,,MA-L,2026-07-05,2026-07-05
00:00:28,0,Prodigy Systems Corporation,,,MA-L,2026-07-05,2026-07-05
00:00:29,0,Imc Networks Corp.,,,MA-L,2026-07-05,2026-07-05
00:00:2A,0,Trw - Sedd/Inp,,,MA-L,2026-07-05,2026-07-05
00:00:2B,0,"Crisp Automation, Inc",,,MA-L,2026-07-05,2026-07-05
00:00:2C,0,Autotote Limited,,,MA-L,2026-07-05,2026-07-05
